,genre,popularity,key,mode
191939,0,85,8,0
191940,0,79,11,1
191941,0,79,9,0
191942,0,79,0,0
191943,0,78,0,0
191944,0,78,11,1
191945,0,75,10,0
191946,0,76,7,1
191947,0,80,7,0
191948,0,81,11,0
191949,0,77,9,1
191950,0,77,6,1
191951,0,75,0,0
191952,0,80,1,1
191953,0,78,5,1
191954,0,74,3,0
191955,0,77,9,0
191956,0,74,8,0
191957,0,68,5,1
191958,0,80,5,0
191959,0,73,5,1
191960,0,77,4,1
191961,0,77,1,0
191962,0,74,2,1
191963,0,79,9,0
191964,0,72,2,0
191965,0,79,9,0
191966,0,77,9,0
191967,0,77,0,0
191968,0,70,0,0
191969,0,67,7,0
191970,0,73,6,1
191971,0,72,8,0
191972,0,74,8,0
191973,0,78,10,0
191974,0,69,3,1
191975,0,74,8,0
191976,0,76,0,1
191977,0,74,6,0
191978,0,75,11,1
191979,0,74,5,0
191980,0,71,4,0
191981,0,72,5,1
191982,0,69,0,0
191983,0,76,10,1
191984,0,75,9,0
191985,0,74,7,1
191986,0,75,10,0
191987,0,65,8,0
191988,0,73,0,0
191989,0,70,5,1
191990,0,72,2,0
191991,0,74,0,0
191992,0,79,1,1
191993,0,69,6,0
191994,0,71,10,0
191995,0,71,7,0
191996,0,69,11,0
191997,0,74,9,0
191998,0,73,9,0
191999,0,72,5,1
192000,0,75,8,1
192001,0,73,11,0
192002,0,74,11,0
192003,0,77,9,1
192004,0,73,2,0
192005,0,73,8,0
192006,0,72,11,0
192007,0,73,1,1
192008,0,71,1,0
192009,0,76,9,0
192010,0,69,4,1
192011,0,64,10,1
192012,0,71,11,0
192013,0,67,7,0
192014,0,71,1,1
192015,0,70,8,0
192016,0,72,3,0
192017,0,70,5,1
192018,0,68,11,1
192019,0,70,6,0
192020,0,76,9,0
192021,0,75,11,1
192022,0,67,5,0
192023,0,68,0,0
192024,0,70,0,0
192025,0,70,8,0
192026,0,67,0,0
192027,0,70,7,1
192028,0,69,0,0
192029,0,69,0,0
192030,0,67,6,1
192031,0,66,8,0
192032,0,74,10,1
192033,0,74,2,1
192034,0,69,10,1
192035,0,71,2,0
192036,0,65,5,1
192037,0,66,0,0
